Empresa,Yhaguy,,,,,,,,,
,,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,ESTADO,SALDO,COSTO,MAYORISTA,DOLARES,MINORISTA,AUTOCENTRO
VALV13014M,PULOVER CEPORTIVO VALVOLINE C.REDOND M.,RETAIL SHOP,VALVOLINE,A,3,"154982,5",0,0,255000,255000
VALV13014S,PULOVER CEPORTIVO VALVOLINE C.REDOND S.,RETAIL SHOP,VALVOLINE,A,2,"154982,433",0,0,255000,255000
VALV13014X,PULOVER CEPORTIVO VALVOLINE C.REDOND X.,RETAIL SHOP,VALVOLINE,A,0,"154982,5",0,0,255000,255000
VALV13015L,SUDADERA CON CAPUCHA VAVOLINE GRIS L.,RETAIL SHOP,VALVOLINE,A,1,"187103,1",0,0,290000,290000
VALV13015M,SUDADERA CON CAPUCHA VAVOLINE GRIS M.,RETAIL SHOP,VALVOLINE,A,1,"187103,1",0,0,290000,290000
VALV13015S,SUDADERA CON CAPUCHA VAVOLINE GRIS S.,RETAIL SHOP,VALVOLINE,A,0,"187103,1",0,0,290000,290000
VALV13015X,SUDADERA CON CAPUCHA VAVOLINE GRIS X.,RETAIL SHOP,VALVOLINE,A,3,"187103,1",0,0,290000,290000
VALV13021D,REMERA SPORT VALVOLINE NEGRO/LILA D.,RETAIL SHOP,VALVOLINE,A,0,"58620,3",0,0,0,0
VALV13021L,REMERA SPORT VALVOLINE NEGRO/LILA L.,RETAIL SHOP,VALVOLINE,A,0,"45236,675",0,0,0,0
VALV13021M,REMERA SPORT VALVOLINE NEGRO/LILA M.,RETAIL SHOP,VALVOLINE,A,0,"45236,66",0,0,0,0
VALV13021X,REMERA SPORT VALVOLINE NEGRO/LILA X.,RETAIL SHOP,VALVOLINE,A,0,"45236,667",0,0,0,0
VALV13028,LINTERNA BRILLANTE VALVOLINE,RETAIL SHOP,VALVOLINE,A,0,"42559,95",55328,0,0,0
VALV13029,BOLSO CON TIRAS VALVOLINE AZUL/GRIS,RETAIL SHOP,VALVOLINE,A,43,"18737,084",0,0,0,0
VALV13034,BOLSO TIPO CA�O ENFRIADOR VALVOLINE,RETAIL SHOP,VALVOLINE,A,0,"125806,25",0,0,0,0
VALV13039,PLUMA NASH VALVOLINE TURQUESA,RETAIL SHOP,VALVOLINE,A,50,"3212,07",0,0,6000,6000
