Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
MKT 209,REMERA VALVOLINE EDICION LIMITADA T.G,MARKETING,PROMOCION,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 210,REMERA VALVOLINE EDICION LIMITADA T.M,MARKETING,PROMOCION,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 189,REMERA CUELLO REDONDO ROJA VALVOLINE G,MARKETING,PROMOCION,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 208,REMERA VALVOLINE EDICION LIMITADA T.XG,MARKETING,PROMOCION,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 185,REMERA CUELLO REDONDO AZUL VALVOLINE XG,MARKETING,PROMOCION,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 207,REMERA VALVOLINE EDICION LIMITADA T.XXG,MARKETING,PROMOCION,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 186,REMERA CUELLO REDONDO BLANCA VALVOLINE G,MARKETING,PROMOCION,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 187,REMERA CUELLO REDONDO BLANCA VALVOLINE M,MARKETING,PROMOCION,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 188,REMERA CUELLO REDONDO BLANCA VALVOLINE P,MARKETING,PROMOCION,VALVOLINE,Sin Color,VARIOS,REMERAS,0,0
MKT 168,TERMOS FORRADOS TERERE-VALVOLINE,MARKETING,PROMOCION,VALVOLINE,Sin Color,VARIOS,TERMOS BORDADOS,0,0
MKT 170,EXHIBIDOR - MOSTRADOR,MARKETING,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
MKT 169,RELOJ VALVOLINE NEGRO,MARKETING,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
MKT 201,RELOJ NEGRO MAHLE,MARKETING,MERCHANDISING,MAHLE,Sin Color,VARIOS,RELOJES,0,0
MKT 213,MESA C/ PORTA CHAMPA�ERA MAHLE,MARKETING,PUBLICIDAD,MAHLE,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 80,REMERA POLO NEGRO FAG-INA,MARKETING,Sin Grupo,FNA,Sin Color,VARIOS,Sin linea,0,0
MKT 180,REMERA AZUL ROTA T.L,MARKETING,MERCHANDISING,ROTA,Sin Color,VARIOS,REMERAS,0,0
MKT 181,REMERA AZUL ROTA T.M,MARKETING,MERCHANDISING,ROTA,Sin Color,VARIOS,REMERAS,0,0
MKT 203,REMERA NARANJA ROTA T.XL,MARKETING,MERCHANDISING,ROTA,Sin Color,VARIOS,REMERAS,0,0
MKT 202,REMERA NARANJA ROTA T.L,MARKETING,MERCHANDISING,ROTA,Sin Color,VARIOS,RELOJES,0,0
MKT 241,BASURERO ECOLOGICO CONTINENTAL,MARKETING,MERCHANDISING,CONTINENTAL,Sin Color,VARIOS,BASUREROS ECOL�GICOS,0,0
MKT 263,RELOJ CONTINENTAL,MARKETING,MERCHANDISING,CONTINENTAL,Sin Color,VARIOS,RELOJES,0,0
MKT 242,TOALLA NEGRA CON LOGO CONTINETAL,MARKETING,MERCHANDISING,CONTINENTAL,Sin Color,VARIOS,TOALLAS BORDADAS,0,0
MKT 325,MINI TOTTEM TOYO,MARKETING,MERCHANDISING,COMPRA LOCAL,Sin Color,VARIOS,EXHIBIDORES BATERIAS,0,0
MKT 153,WHISKY GOLD RESERVE 75CL,MARKETING,MERCHANDISING,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 415,LLAVERO DE GOMA VALVOLINE,MARKETING,MERCHANDISING,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 417,REMERA PROMO VALVOLINE NEGRO,MARKETING,MERCHANDISING,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 416,CAMPERA IMPERMEABLE VALVOLINE,MARKETING,MERCHANDISING,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 418,CHALECO MANCHESTER CITY VALVOLINE,MARKETING,MERCHANDISING,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 413,FRANELA VALVOLINE,MARKETING,BEBIDAS,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 407,BUCHANAN'S RED SEAL 750ML,MARKETING,BEBIDAS,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 414,LLAVERO COLGANTE VALVOLINE AZUL,MARKETING,BEBIDAS,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 162,JHONNIE WALKER - BLACK LABEL 12X1LT.,MARKETING,BEBIDAS,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
