Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
YHAGUY BATERIAS S.A.,7.873,Compras  CREDITO,5/5/2017,5/5/2017,3233345,3233345,58348
YHAGUY BATERIAS S.A.,7.848,Compras  CREDITO,5/5/2017,5/5/2017,420218,420218,58348
YHAGUY BATERIAS S.A.,7.898,Compras  CREDITO,8/5/2017,8/5/2017,8346440,8346440,58348
YHAGUY BATERIAS S.A.,7.909,Compras  CREDITO,8/5/2017,8/5/2017,3888986,3888986,58348
YHAGUY BATERIAS S.A.,7.920,Compras  CREDITO,9/5/2017,9/5/2017,6735164,6735164,58348
YHAGUY BATERIAS S.A.,7.977,Compras  CREDITO,10/5/2017,10/5/2017,447455,447455,58348
YHAGUY BATERIAS S.A.,7.963,Compras  CREDITO,10/5/2017,10/5/2017,1949268,1949268,58348
YHAGUY BATERIAS S.A.,8.005,Compras  CREDITO,10/5/2017,10/5/2017,13886000,13886000,58348
YHAGUY BATERIAS S.A.,8.061,Compras  CREDITO,11/5/2017,11/5/2017,2782000,2782000,58348
YHAGUY BATERIAS S.A.,8.049,Compras  CREDITO,11/5/2017,11/5/2017,1223874,1223874,58348
YHAGUY BATERIAS S.A.,8.109,Compras  CREDITO,12/5/2017,12/5/2017,725655,725655,58348
YHAGUY BATERIAS S.A.,8.131,Compras  CREDITO,12/5/2017,12/5/2017,4029300,4029300,58348
YHAGUY BATERIAS S.A.,8.101,Compras  CREDITO,12/5/2017,12/5/2017,526829,526829,58348
YHAGUY BATERIAS S.A.,8.159,Compras  CREDITO,16/5/2017,16/5/2017,2739200,2739200,58348
YHAGUY BATERIAS S.A.,8.191,Compras  CREDITO,16/5/2017,16/5/2017,15979964,15979964,58348
YHAGUY BATERIAS S.A.,8.190,Compras  CREDITO,16/5/2017,16/5/2017,17081091,17081091,58348
YHAGUY BATERIAS S.A.,8.262,Compras  CREDITO,18/5/2017,18/5/2017,8257482,8257482,58348
YHAGUY BATERIAS S.A.,8.318,Compras  CREDITO,19/5/2017,19/5/2017,1391000,1391000,58348
