Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
COF LC.7173 STD,0,-2
SC-1406,0,-1
ABRO SF650,1,0
SC-1545,0,-1
MB-48,1,0
SC 23.787.135,12,0
SC 23.787.235,6,0
SC 23788135,6,0
SC 23788235,6,0
RIO 23.786.035,6,0
SC-105,0,-1
ROC 010286-5-01,0,-2
MB-116,0,-5
SC-446,1,0
CIP 170083,2,0
SC-2269,0,-12
MB-50,14,0
PRIO 3603560015,1,0
SC-1034,3,0
CIP 926600,0,-3
ROC 010060-9 01,0,-1
MB-54,0,-4
ROC 010064-1,4,0
MIL 633.712,3,0
MB-2375,2,0
SC 1305317,0,-1
MB-51,0,-15
MB-2578,0,-1
SC-1013,2,0
ZF 0501398461,0,-2
RIO 23.530.020,0,-8
RIO 23.187.043,6,0
ZM C-1-639,3,0
SC-474,0,-1
SC-1523,0,-2
MB-023,0,-1
MB-3123,0,-21
TRA 44742/002,0,-1
NAK N-141,1,0
TRA 44836/105,0,-1
SC-2562,0,-4
CIP 1376871,1,0
FAL 34726,0,-1
MB-2971,0,-1
AMA 586,0,-2
ROC 345825-3,0,-4
UNIV 50.285,0,-1
ZEN 0367,0,-1
ZEN 1.01.0105.0,1,0
MB-168,2,0
MB-1749,4,0
ROC 303039301,0,-7
SC 2331,0,-1
AMA 549,1,0
AMA 560,0,-2
KLA 79337,0,-1
BEP B018P,0,-1
BEP B018H,2,0
HELL 3AL 002 952-861,0,-2
MB-299,0,-3
MB-240,5,0
TRA 44999/004,0,-12
BEP B063L,1,0
VAR RRCM 2783.2,0,-1
CON C-2058,0,-1
ZF 0070.398.003,1,0
BRO BO0710,1,0
SCH 10.172,0,-1
SCH 10.217,1,0
VET VBO-10982,0,-1
SCH 20.144.A,2,0
BEP B059E,0,-1
VET VBD-365,1,0
URB UB0149,0,-2
NAK NKBA-11981,1,0
SCH 20.195,1,0
SCH 20.195A,3,0
BRO 214131,1,0
SC 1457711/1,0,-1
VAR RCCE 0024.6,0,-1
VAR RCCE 0033.5,0,-1
SC 1358801,2,0
PRIO 1358801,0,-2
WAY 052.065,0,-1
SC 1370031,0,-1
PRIO 46229,0,-2
FEB 34191,0,-1
ATL WS-32,0,-1
FLA 97 0089,0,-1
FLA 90 0005,1,0
MB-167,26,0
INC 01.06.0268,1,0
SAM 021382,0,-1
FLA 82 0636,0,-5
FLA 82 0651,0,-1
MB-2389,0,-1
RIO 41.332.035,0,-12
RIO 41.041.020,13,0
MB-2215,0,-12
RIO 41.042.020,102,0
RIO 41.114.060,12,0
INA F-46518,7,0
MB-5519,0,-2
RIO 41.152.020,114,0
MARI IM11039,0,-2
RYG 352.130.0216,0,-2
MB-164,0,-1
HUB 102.00004-0,0,-1
MB-2664,0,-1
