Vendedor,TIPO-CONT-INT,Tipo Contacto Interno
Tecnico,TIPO-CONT-INT,Tipo Contacto Interno
Cobrador,TIPO-CONT-INT,Tipo Contacto Interno
Contado,TIPO-OPE,Tipo Operacion
Credito,TIPO-OPE,Tipo Operacion
Cheque,TIPO-OPE,Tipo Operacion
Activo,CTA-CTE-EST,Cuenta Corriente Estado
Inactivo,CTA-CTE-EST,Cuenta Corriente Estado
Rubros Empresas,Regla Precio,Regla Precio
Tipo Cliente,Regla Precio,Regla Precio
Regla Vendedor,Regla Precio,Regla Precio
Regla Venta,Regla Precio,Regla Precio
Regla Articulo,Regla Precio,Regla Precio
Regla Cliente,Regla Precio,Regla Precio
Articulo Marca,Regla Precio,Regla Precio
Articulo Familia,Regla Precio,Regla Precio
Articulo Linea,Regla Precio,Regla Precio
Artículo Parte,Regla Precio,Regla Precio
Modo Venta,Regla Precio,Regla Precio
Sucursal,Regla Precio,Regla Precio
Vendedor Rubro,Regla Precio,Regla Precio
Sin Marca,ART-MAR-DEF,Articulo Marca
Debito por Cobranza Central,FP-TIP-DE-CO-CE,Forma de Pago del Recibo
Nacion Argentina,BCO-TER-DBNA,Bancos para Cheques de Tercero
Interfisa,BCO-TER-ITERF,Bancos para Cheques de Tercero
Recaudacion Casa Central,FP-TIP-RCC,Forma de Pago del Recibo
Transferencia Casa Central,FP-TIP-TCC,Forma de Pago del Recibo
CHAMPION ESPAÑA,ART-MAR-DEF-CHA-ESP,Articulo Marca
ABOGADO,RUB-EMP,Rubros Empresas
ACCIONISTAS,RUB-EMP,Rubros Empresas
FUNCIONARIOS,RUB-EMP,Rubros Empresas
TRANSPORTE DE PASAJEROS,RUB-EMP,Rubros Empresas
TRANSPORTE DE CARGAS,RUB-EMP,Rubros Empresas
CASA DE REPUESTOS,RUB-EMP,Rubros Empresas
ASEGURADORAS,RUB-EMP-ASE,Rubros Empresas
Banco BASA,BCO-TER-AMAM,Bancos para Cheques de Tercero
CENTRO DE LUBRICACION,RUB-EMP,Rubros Empresas
CASA DE FILTROS,RUB-EMP,Rubros Empresas
VENTA DE CUBIERTAS,RUB-EMP,Rubros Empresas
RECTIFICADORA,RUB-EMP,Rubros Empresas
DISTRIBUIDOR DE YHAGUY,RUB-EMP,Rubros Empresas
TALLER MECANICO,RUB-EMP,Rubros Empresas
NAVIERA,RUB-EMP,Rubros Empresas
CONSTRUCTORA,RUB-EMP,Rubros Empresas
PUERTOS,RUB-EMP,Rubros Empresas
COOP. DE AHORRO Y PRESTAMO,RUB-EMP,Rubros Empresas
CLIENTES EMPRESARIALES,RUB-EMP,Rubros Empresas
SUCURSALES DE YHAGUY,RUB-EMP,Rubros Empresas
ESTACION DE SERVICIO,RUB-EMP,Rubros Empresas
CONSUMIDOR FINAL,RUB-EMP,Rubros Empresas
FABRICA,RUB-EMP,Rubros Empresas
ABOGADO/A DAYNE,RUB-EMP,Rubros Empresas
LUBRICANTES Y CUBIERTAS,RUB-EMP,Rubros Empresas
TALLER Y VENTA DE REPUESTOS,RUB-EMP,Rubros Empresas
"LUBRICANTES, ACCESORIOS Y REPUESTOS",RUB-EMP,Rubros Empresas
CASA DE BATERIAS,RUB-EMP,Rubros Empresas
VENDEDOR EXTERNO,RUB-EMP,Rubros Empresas
VENDEDOR MOSTRADOR,RUB-EMP,Rubros Empresas
SOCIO LIBERTAD,RUB-EMP,Rubros Empresas
PLAYA DE AUTOS,RUB-EMP,Rubros Empresas
GOMERIA,RUB-EMP,Rubros Empresas
COOPERATIVAS,RUB-EMP,Rubros Empresas
METALURGICAS,RUB-EMP,Rubros Empresas
RAMOS GENERALES,RUB-EMP,Rubros Empresas
CONSECIONARIAS,RUB-EMP,Rubros Empresas
SECTOR PUBLICO,RUB-EMP,Rubros Empresas
DESPACHANTE,RUB-EMP,Rubros Empresas
DISTRIBUIDORA YPANE S.A.,RUB-EMP,Rubros Empresas
DELIA GOMEZ SER. PERSONALES,RUB-EMP,Rubros Empresas
PUERTA DE VIDRIO CON SENSOR,RUB-EMP,Rubros Empresas
HERRERO,RUB-EMP,Rubros Empresas
ENVASES EN GENERAL,RUB-EMP,Rubros Empresas
PROVEEDOR,RUB-EMP,Rubros Empresas
PRODUCTOS AGROPECUARIOS,RUB-EMP,Rubros Empresas
COMBUSTIBLES,RUB-EMP,Rubros Empresas
SERIGRAFIA-REGALOS EMPRESARIALES,RUB-EMP,Rubros Empresas
VIDRIOS-CRISTALES-ESPEJOS,RUB-EMP,Rubros Empresas
AGROGANADERA DOS EME S.A.,RUB-EMP,Rubros Empresas
LABORATORIO Y HERBORISTERIA,RUB-EMP,Rubros Empresas
IMPORTADORA DE CAFE,RUB-EMP,Rubros Empresas
TECNICO DE LINEAS TELEFONICAS,RUB-EMP,Rubros Empresas
TECNICO DE CAFETERA,RUB-EMP,Rubros Empresas
SALON DE BELLEZA,RUB-EMP,Rubros Empresas
AUTOMOTORES Y MAQUINARIAS,RUB-EMP,Rubros Empresas
MECANICA AUTOMOTRIZ,RUB-EMP,Rubros Empresas
COPETIN EUSEBIA GOMEZ,RUB-EMP,Rubros Empresas
FERRETERIA,RUB-EMP,Rubros Empresas
PUBLICIDAD,RUB-EMP,Rubros Empresas
Saldo a Favor Generado,FP-TIP-SFC,Forma de Pago del Recibo
Saldo a Favor Cobrado,FP-TIP-SFC-COB,Forma de Pago del Recibo
SUPRA,CMB-SPA,Tipos de Combustible
GAS,CMB-GAS,Tipos de Combustible
DIESEL,CMB-DSL,Tipos de Combustible
Debito en Cuenta Bancaria,FP-TIP-DB-CT-BC,Forma de Pago del Recibo
ZONA 1,,Zonas
ZONA 2,,Zonas
ZONA 3,,Zonas
ZONA 4,,Zonas
ZONA 5,,Zonas
ZONA 6,,Zonas
Guaranies,Gs.,Moneda
