Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
HEL T70ND,BATERIA HELIAR TAXI 70AH.LA28.3-AN17.5CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL TA55DD,BATERIA HELIAR TOP 55AH LA24-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL TA55DE,BATERIA HELIAR TOP 55AH LA24-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL TA65ND,BATERIA HELIAR TOP 65AH LA28.1-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL TA65NE,BATERIA HELIAR TOP 65AH LA28.1-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL HE65DD,BATERIA HELIAR RACING 65AH LA24.4-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL HE65DE,BATERIA HELIAR RACING 65AH LA24.4-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL TA95LE,BATERIA HELIAR TOP 95AH LA33-AN17.2-AL24.1 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL FR200TD,"BATERIA HELIAR FROTA 200AH LA-53 AN-28 AL-24,6 CM",BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL TA135TD,BATERIA HELIAR TOP 135AH LA51-AN21.3-AL23.6CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL FR150TD,BATERIA HELIAR FROTA 150AH LA51-AN21.3-AL23.6 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL FGM60HD,BATERIA HELIAR RACING 60 AH. LA24.2-AN17.5-AL19.OCM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL FGM60HE,BATERIA HELIAR RACING 60 AH.LA24.2-AN17.5-AL19.OCM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL FR170TD,BATERIA HELIAR FROTA 170AH LA51-AN21.3-AL23.6 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL FRP150TD,BATERIA HELIAR FROTA 150AH LA51-AN21.3-AL23.6 CM S/TAPON,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL FRP170TD,BATERIA HELIAR FROTA S/TAPON 170AH,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL FRP100LE,BATERIA HELIAR FROTA 100AH LA33-AN17.2-AL24.1 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL SFR170TD,"BATERIA HELIAR FROTA 170AH LA-51,3 AN-22,3 AL 21,8 CM",BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL SFR190TE,"BATERIA HELIAR PROF 190AH LA-51,3 AN-22,3 AL-21,8 CM",BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL SFR175TE,"BATERIA HELIAR PROF 175AH LA-51,3 AN-22,3 AL-21,8 CM",BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL FX90MD,BATERIA HELIAR FREE 90AH LA36-AN17.7-AL19 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F60DD,BATERIA HELIAR FREE 60AH LA24.4-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F50GD,BATERIA HELIAR FREE 50AH LA20.7-AN17.7-AL19 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F50JD,BATERIA HELIAR FREE 50AH LA23.8 -AN12.9-AL22.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F36JD,BATERIA HELIAR FREE 36AH LA18.7-AN12.7-AL22.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F90LD,BATERIA HELIAR FREE 90AH LA32-AN17.1-AL22.7 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F75LD,BATERIA HELIAR FREE 75AH LA27.3-AN17.5-AL22.6 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F70ND,BATERIA HELIAR FREE 70AH LA28.1-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL HE75ND,BATERIA HELIAR RACING 75AH LA28.1-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F60DE,BATERIA HELIAR FREE 60AH LA24.4-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F50JE,BATERIA HELIAR FREE 50AH LA23.8-AN12.9-AL22.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F90LE,BATERIA HELIAR FREE 90AH LA32-AN17.1-AL22.7 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL F75LE,BATERIA HELIAR FREE 75AH LA27.3-AN17.5-AL22.6 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL HE75NE,BATERIA HELIAR RACING 75AH LA28.1-AN17.5-AL17.5 CM,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL HTZ5,BATERIA HELIAR PARA APLICACION EN MOTOCICLETAS HTZ5,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL HTZ6,BATERIA HELIAR PARA APLICACION EN MOTOCICLETAS HTZ6,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
HEL HTZ7,BATERIA HELIAR PARA APLICACION EN MOTOCICLETAS HTZ7,BATERIAS,Sin Grupo,HELIAR,Sin Color,VARIOS,Sin linea,0,0
RAI N-40L,BATERIA RAIDEN  40 AMP.-+ N-40L L234-AN126-ALT227,BATERIAS,ELE,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI 80D31L,BATERIA RAIDEN  80 AMP.-+ 300 x 170 x 230,BATERIAS,ELE,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI 80D31R,BATERIA RAIDEN  80 AMP.+-  300 x 170 x 230,BATERIAS,ELE,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI 95D31L,BATERIA RAIDEN  95 AMP. 12V 300 x 170 x 230,BATERIAS,ELE,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI 95D31R,BATERIA RAIDEN  95 AMP. 12V 300 x 170 x 230,BATERIAS,ELE,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI BTN-150,BATERIA RAIDEN 135AMP.12V BTN-150,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI N-70,BATERIA RAIDEN 70  AMP LA300-AN170-AL230 mm,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI N-100,BATERIA RAIDEN 100AMP. 12V 405 x 172 x 240,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
