Empresa,Yhaguy,
,,
CODIGOINTERNO,LISTA,
BEP W954,55500,
BER 1118884,313000,
BIA 5111230026,1809100,
BIA 5111244029,2814100,
BIA 5111248009,1120800,
BIA 5111248010,1693700,
BIA 511145001,1691800,
BIA 5191133010,934000,
BIA 5191133011,1874300,
BIA 5191142002,2733700,
BIA 5191143009,1792700,
BIA 5191147002,934000,
BIN 31.66.0100.4,14400,
BIN 31.66.0202.7,49000,
BIN 31.66.0204.3,34700,
BIN 31.66.0205.1,9600,
BIN 31.66.0362.7,20600,
BIN 31.66.0363.5,18500,
BIN 31.66.0871.8,9100,
BK 13.0870,59400,
BK 13.0871,65000,
BK 19.BSX-433-12V,32600,
BK 19.BSX-561-12V,32500,
BK 19.BSX561-24V,19800,
BK 2.0102,8000,
BK 2.0212,12100,
BK 2.0240,15900,
BK 2.0424S4,28600,
BK 2.0810,33200,
BK 2.0833,62500,
BK 3.013,29600,
BK 3.041,40100,
BK 3.1001,20500,
BK 3.1541,84000,
BK 4.6611,36700,
BK 4.6613,37900,
BK 5.N901,75400,
BK 6.N105,52500,
BK 6.N133,177100,
BK 7.N83498,328200,
BK 99.370,38100,
BK 99.947,105600,
BMC 1403258,108900,
BMC 1403260,88000,
BMC 1409890,36700,
BMC 1526816,249400,
BMC 173320,20200,
BMC 271194,66700,
BMC 314063,13900,
BMC 33352,12500,
BMC 355939,5900,
BMC 479163,0,
BMC 550422,92200,
BMC 550455,0,
BMC 551350,133900,
BMC 551363,134200,
BMC 551484,107600,
BMG 1377571,666700,
BOE 0108,7500,
BOE 0251/00,1717400,
BOE 0252/00,1665800,
BOE 06132,4800,
BOE 0910,8800,
BOE 0911,19600,
BOE 0951/04,1599200,
BOE 0952/04,1449300,
BOE 1051/00,1722900,
BOE 1052/00,1722900,
BOE 1117,1200,
BOE 1211,50000,
BOE 1422,21400,
BOE 1439,166700,
BOE 1806,185700,
BOE 1809,2500,
BOE 1910,170600,
BOE 1914,332000,
BOE 1915,332500,
BOE 2004,252000,
BOE 3012,22700,
BOE 4501/00,1922600,
BOE 4505,149100,
BOE 4615,257600,
BOE 4616,257600,
BOE 4619,439500,
BOE 4620,414300,
BOE 4708,280800,
BOE 5025,395900,
BOE 5313,290700,
BOE 5414,290700,
BOE 5518,173800,
BOE 6000,205900,
BOE 6001,213000,
BOE 6002,212700,
BOE 6003,127800,
BOE 6004,127800,
BOE 6005,193700,
BOE 6006,210000,
BOE 6007,210000,
BOE 6010,192200,
BOE 6015,176700,
BOE 6020,178400,
BOE 6027,196500,
BOE 6028,206800,
BOE 6049,333400,
BOE 6050,173400,
BOE 6051,197200,
BOE 6052,200100,
BOE 6053,325000,
BOE 6060,173400,
BOE 6096/00,206700,
BOE 6121,206700,
BOE 6127,229300,
BOE 6151,316700,
BOE 6152,192600,
BOE 6154,187100,
BOE 6156,83500,
BOE 6161,466700,
BOE 6162,466700,
BOE 6171,326200,
BOE 6172,163800,
BOE 6173,156000,
BOE 6174,156000,
BOE 6176,190100,
BOE 6181,203600,
BOE 6401,352100,
BOE 6448,409500,
BOE 6450,315400,
BOE 6452,382700,
BOE 7600,531600,
BOE 7701,631200,
BOE 7800,411300,
BOE 7801,299000,
BOE 7805,27000,
BOE 7806,27400,
BOE 903,255000,
BOE 904,255000,
BOE 905,388500,
BOE 906,287000,
BOE 907,301100,
BOE 908,301100,
BOE 909,229100,
BOE 912,26000,
BON A-5006,0,
BOR 14839880010,4514200,
BOR 169146,2833400,
BOR 174618,4130400,
