Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
FRU 792,0,-1
NAK NKF-6074,0,-3
SUP 88.10.026S,0,-1
SUP 88.10.026Z,1,0
PRI TD-101,0,-1
CIN 10.33.0471,0,-1
CIN 10.33.0269,1,0
ARY 1111899,0,-1
ARY 378633,1,0
CIN 10.33.0376,1,0
BEP M025C,1,0
FCS-SC030,1,0
FCS-SC036,2,0
FCS-SC030-01,0,-3
FCS-SCFO-045,2,0
FCS-BZOT-019,1,0
FCS-SN011 LH,2,0
AMA 6077 E,0,-2
SC 1386957/8,0,-2
AMA 6122 D,0,-5
AMA 6122 E,0,-5
BEP M187BI,0,-4
BEP M187B,2,0
BEP M185,0,-10
TBP S80.8163,0,-5
BEP B040,0,-1
BEP B040F,0,-4
FCS-SN002 RH,3,0
TBP S80.8125,1,0
FCS-SN001 RH,1,0
FCS-SN001 LH,3,0
CIP 1422991,0,-1
FCS-SN003 RH,1,0
FCS-SN003 LH,15,0
PRA PL04480201,0,-1
FCS-SN006 RH,21,0
FCS-SN006 LH,1,0
FCS-BZMO-078,0,-2
FCS-BZMO-079,2,0
FCS-SN016 RH,3,0
FCS-SN016 LH,6,0
FCS-BZOT-010 RH,0,-1
FCS-SC081-01,0,-2
FRI BB-7176,0,-16
FRI BB-7176-1X,8,0
FRI BB-7180,0,-8
FRI BB-7182,0,-1
FRI BB-7182-1X,1,0
FRI BB-7183,8,0
FRI BB-7183-3X,2,0
FRI BB-7184-3X,1,0
FRI BB-7185,0,-8
FRI BB-7185-1X,24,0
FRI BB-7190-1X,1,0
FRI BB-7190-2X,6,0
FRI BB-7191-2X,4,0
FRI BB-4514-3X,0,-8
FRI BB-4644-1X,0,-11
FRI BB-4644-2X,48,0
FRI BB-7784-2X,0,-8
FRI BB-7224,4,0
FRI BB-7224-1X,0,-3
FRI BB-7226-2X,1,0
FRI BB-7228-1X,0,-1
FRI BB-7230,8,0
FRI BB-4664-1X,0,-4
FRI BB-4664-2X,0,-31
CROS FB-15/2,0,-3
BEP B059T,1,0
LAJ-137,17,0
PH-2904,0,-3
LRF03-23-570,0,-39
LMB-220900,0,-35
MB-4085,0,-3
VAR RCLF 0003.8,0,-1
FLEX AM102,2,0
FAG 1/2K GRASA,6,0
MB-2648,0,-18
AMA 923,0,-2
FCS-SC099 LH,1,0
FCS-SC099,0,-3
FCS-SC099 RH,1,0
AMA 6055,0,-1
AMA 7013,0,-3
