Empresa,Yhaguy Repuestos
,,,,,
CODIGO,CANTIDAD,FECHA,PROVEEDOR,COSTODS,COSTOGS
SAB 82301,10,12/1/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,5.41,24.326
SAB 11301 FPSG,20,9/2/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.44,12.878
SAB 11701 FPSD,5,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,5.09,30.521
SAB 11302 FPSG4,10,24/10/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.14,9.158
SAB 82071,15,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.04,12.601
SAB 82239,100,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.6,9.547
SAB 82230,20,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.17,12.948
SAB 11801 FPSD,10,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,5.4,32.380
SAB 46301 FPSD,10,9/12/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,4.46,28.208
SAB 46301 FPSD1,20,12/1/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,4.56,28.480
SAB 46301 FPSD2,30,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,4.61,27.507
SAB 82223,5,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,10,32.740
SAB 82415,5,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,12.21,73.214
SAB 82240,12,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,7.2,25.346
SAB 99914,11,8/2/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,53.06,331.559
SAB 82295,1,5/12/2017,SANTA ELENA S.A.,,239.025
SAB 82220,50,12/1/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.73,13.138
SAB 16101 FPSG,80,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.92,11.456
SAB 71601 FPSD,20,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.8,8.682
SAB 79100,24,4/10/2018,SANTA ELENA S.A.,,70.466
SAB 70001 FPSD,6,3/1/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.01,12.878
SAB 70601 FPSD,15,9/2/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.3,20.272
SAB 70701 FPSD,4,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,9.36,55.850
SAB 46901 FG2,30,12/1/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.04,12.725
SAB 46701 FLEX,140,8/2/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.25,14.613
SAB 99961,2100,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,8,38.587
SAB 82350,50,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,5.05,31.693
SAB 82231,530,31/10/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.09,13.221
SAB 82313,30,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.01,12.615
SAB 46501 FLEX,300,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.5,14.917
SAB 11001 FPSG4,20,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.16,13.125
SAB 82300,20,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,6.84,28.331
SAB 07800,15,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,10.13,60.444
SAB 78701,100,20/12/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,9.84,47.995
SAB 78700,20,26/3/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,6.52,30.962
SAB 78570,4,26/4/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,9.78,43.780
SAB 78585,6,25/8/2010,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.26,11.688
SAB 01090,60,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,5.72,34.130
SAB 02927 BREF,24,30/12/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.47,2.367
SAB 07943,200,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,5.87,35.670
SAB 07790KIT,6,14/10/2017,AUTOMOVIL SUPPLY S.A.,,110.091
SAB 00222BAG,200,11/10/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.83,5.081
SAB 00904 BRGE,100,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.66,3.957
SAB 00305 BAG,25,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.27,7.615
SAB 01927BR,100,11/10/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.23,13.713
SAB 01509 BR,228,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.44,8.903
SAB 01422 BR,50,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.44,2.720
SAB 01135 BR,50,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.99,6.133
SAB 01832 BR,100,11/10/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.71,4.382
SAB 02506 BR,20,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.94,5.636
SAB 02319 BRGE,15,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.38,8.532
SAB 02681 BARG,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.65,10.225
SAB 02682 BRAG,15,9/12/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.48,9.335
